key,n_features,missing_rate,prop_latent,snr,masking,prop_for_masking,iter,method,train_test,n,mse,r2,early_stopping,residual_connection,depth,n_epochs,lr,batch_size,type_width,width,verbose,learning_rate,learning_rate_init,max_iter,validation_fraction,mlp_depth
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,train,10000,8.948615194879816,0.8497990989478996,False,True,4.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,test,10000,9.81856148187033,0.8320043524749458,False,True,4.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,val,10000,9.838314548173248,0.8325535188428441,False,True,4.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,train,10000,8.988634001477935,0.8491273904567908,True,True,4.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,test,10000,9.770085712957835,0.8328337731800833,True,True,4.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,val,10000,9.859224255307552,0.832197639096926,True,True,4.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,train,10000,8.753091363693134,0.8530809313858619,False,False,5.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,test,10000,9.760957665655182,0.8329899541257423,False,False,5.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,val,10000,9.79527310029969,0.8332860771438668,False,False,5.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,train,10000,8.805971109589256,0.8521933543353314,True,False,5.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,test,10000,9.647887544472946,0.8349245845966946,True,False,5.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,val,10000,9.763520286575556,0.8338265047647677,True,False,5.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,train,10000,8.640390916076651,0.8549725881855259,False,True,5.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,test,10000,9.572129972121951,0.8362207971269652,False,True,5.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,val,10000,9.712327858046873,0.834697791404064,False,True,5.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,train,10000,8.548276402645445,0.8565187137721149,True,True,5.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,test,10000,9.656976624578022,0.8347690703800267,True,True,5.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,val,10000,9.71634682666407,0.8346293892250591,True,True,5.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,train,10000,8.704287767407543,0.8539000909962643,False,False,6.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,test,10000,9.744449372108184,0.8332724111301703,False,False,6.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,val,10000,9.788678049458333,0.8333983238148824,False,False,6.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,train,10000,8.647229171751107,0.854857809290517,True,False,6.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,test,10000,9.572972748369931,0.8362063772201631,True,False,6.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,val,10000,9.730467627469103,0.8343890555383949,True,False,6.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,train,10000,8.639907146267998,0.8549807081749967,False,True,6.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,test,10000,9.767590583867815,0.832876464854206,False,True,6.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,val,10000,9.883064788269703,0.8317918771817243,False,True,6.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,train,10000,8.835473307244929,0.8516981652390974,True,True,6.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,test,10000,9.678897847914874,0.8343939981135021,True,True,6.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,val,10000,9.879114841662629,0.8318591046175696,True,True,6.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,train,10000,8.572315901010471,0.8561152151037027,False,False,7.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,test,10000,9.47531327104787,0.8378773314796004,False,False,7.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,val,10000,9.705655911300472,0.8348113468306244,False,False,7.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,train,10000,8.566670185040284,0.8562099774336653,True,False,7.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,test,10000,9.731819219178222,0.8334885131247167,True,False,7.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,val,10000,9.805217454712041,0.8331168258818162,True,False,7.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,train,10000,8.452432994534178,0.8581274281871065,False,True,7.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,test,10000,9.524634775842177,0.8370334402283077,False,True,7.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,val,10000,9.643794770752883,0.8358642131782433,False,True,7.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,train,10000,8.870062309134454,0.8511175950461504,True,True,7.0,100.0,0.001,10.0,,,False,,,,,
0,10,0.5,0.5,10,MAR_logistic,0.1,0,Neumann,test,10000,9.724992908527463,0.8336053113420625,True,True,7.0,100.0,0.001,10.0,,,False,,,,,
